RT @mcashmanCBE: Parties of the left centre and right must challenge the narrow misrepresentation of immigration. We are all immigrants. Al…,positive,"Sentiment(polarity=0.028571428571428564, subjectivity=0.3119047619047619)"
"RT @StarDeplorable: LEGAL immigrants welcome, LAWBREAKERS NOT: Feds: deported ‘Dreamer’ broke rules, had criminal history - https://t.co/On…",positive,"Sentiment(polarity=0.19999999999999998, subjectivity=0.55)"
"RT @Portland_jet: N.J. Gov. Christie flips, says he now wants in-state tuition for illegal immigrants. https://t.co/srPYpjtpUe",negative,"Sentiment(polarity=-0.15, subjectivity=0.3)"
From #JHRW: How do Islamic traditions of guardianship affect social work policy for child #immigrants &amp; #refugees?… https://t.co/NLyb6HRhE1,positive,"Sentiment(polarity=0.03333333333333333, subjectivity=0.06666666666666667)"
@StueyPhooey @adsurg @MigrationWatch What you have described is no attraction to immigrants... we'll go elsewhere (… https://t.co/2TvWSW6Jy7,negative,"Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @cliniclegal: Everyone looses when we start to think of people as ""valuable"" and ""invaluable."" We loose our humanity. 
https://t.co/ZFKV…",negative,"Sentiment(polarity=-0.07692307692307693, subjectivity=0.2692307692307692)"
"RT @polNewsInfinity: Bannon hit the nail on the head tonight.
America is not a “nation of immigrants” - it’s a nation of citizens. https://…",negative,"Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @FoxBusiness: .@SheriffClarke: ""I'm tired of the crocodile tears about the illegal immigrants... we need to feel bad for Americans who c…",negative,"Sentiment(polarity=-0.5333333333333333, subjectivity=0.6222222222222222)"
RT @AmyMek: Thank you Steve Bannon for calling out the Globalist Catholic Church for getting MONEY to help resettle M*slim immigrants. #Sad…,negative,"Sentiment(polarity=0.0, subjectivity=0.1)"
RT @JulieOwenMoylan: Both Lab &amp; Tory Govs chose not to implement these EU regs because immigrants pay more into the system so not cost effe…,positive,"Sentiment(polarity=0.5, subjectivity=0.5)"
"RT @polNewsInfinity: Bannon hit the nail on the head tonight.
America is not a “nation of immigrants” - it’s a nation of citizens. https://…",negative,"Sentiment(polarity=0.0, subjectivity=0.0)"
The Implementation of DACA by the US Govt. will perish the Dreams of Many Immigrants including India. its a destructive Policy.@BBCNews,negative,"Sentiment(polarity=-0.04999999999999999, subjectivity=0.55)"
RT @BadHombreNPS: It's hilariously hypocritical 4 someone to be a nativist when the country was stolen from #indigenous ppl and built by sl…,positive,"Sentiment(polarity=0.5, subjectivity=1.0)"
RT @AltEEOB: Steve Bannon peddling bullshit revisionist history. America was literally built by slaves and immigrants. Immigrants became ci…,negative,"Sentiment(polarity=0.0, subjectivity=0.0)"
RT @AltRabinowitz: I propose mandatory prison time for any CEO who has knowingly hired illegal immigrants. Multi year minimum sentences for…,negative,"Sentiment(polarity=-0.5, subjectivity=0.5)"
